pad_number,x,y,via_x,via_y,connector_number,connector_pin,pin_name,sector,strip,channel_id,pin_x,pin_y,pad_angle,pad_cx,pad_cy,pad_area,pad_w,pad_h,radius,phi,delta_phi,mec8_connector,mec8_pin
0,528.784,59.593,517.423,58.45,0,3,S1,0,127,126,624.1874,69.6454,274.837,517.3762,58.3802,132.927,12.072,11.6203,568.1613,0.14158704,0.00118614,1,68
1,517.295,59.481,505.922,58.438,0,4,S2,0,128,127,632.4579,70.3453,274.837,505.8749,58.3679,132.908,12.0983,11.6488,556.7735,0.14429979,0.00271275,1,67
2,415.115,47.657,403.758,46.516,0,5,S3,0,125,124,624.2296,69.1472,274.837,403.7133,46.4462,132.67,12.0729,11.6443,453.9651,0.15089136,0.01295116,1,66
3,540.173,60.522,528.922,58.462,0,6,S4,0,126,125,632.5,69.8471,274.837,528.8743,58.392,132.95,12.0478,11.593,579.5679,0.1404009,-0.01049046,1,65
4,426.609,47.732,415.258,46.529,0,7,S5,0,123,122,624.2717,68.649,274.837,415.2133,46.4599,132.705,12.0419,11.6092,465.3427,0.1473378,0.01080907,1,64
5,551.654,60.676,540.417,58.473,0,8,S6,0,124,123,632.5422,69.3489,274.837,540.3691,58.4031,132.969,12.0246,11.5678,590.9592,0.1379402,-0.0093976,1,63
6,437.987,48.742,426.755,46.542,0,9,S7,0,121,120,624.3139,68.1508,274.837,426.7097,46.4726,132.738,12.0133,11.5753,476.7462,0.14592972,-0.01578846,1,62
7,563.067,61.402,551.91,58.483,0,10,S8,0,122,121,632.5843,68.8506,274.837,551.8617,58.4134,132.981,12.0015,11.5417,602.3642,0.13652873,-0.00940099,1,61
8,574.658,60.554,563.4,58.493,0,11,S9,0,119,118,624.3561,67.6525,274.837,563.3517,58.4233,132.999,11.9796,11.5187,613.7367,0.13258941,-0.00993997,1,60
9,312.917,35.964,301.592,34.608,0,12,S10,0,120,119,632.6265,68.3524,274.837,301.5517,34.5387,132.268,12.0323,11.6369,351.1912,0.16171818,0.02912877,1,59
10,586.091,61.078,574.888,58.502,0,13,S11,0,117,116,624.3982,67.1543,274.837,574.839,58.4331,133.012,11.9586,11.4947,625.1394,0.13100247,-0.02564601,1,58
11,449.483,48.754,438.249,46.553,0,14,S12,0,118,117,632.6687,67.8542,274.837,438.2025,46.4842,132.765,11.9856,11.5446,488.1245,0.14252938,0.01152691,1,57
